,genes,logFC,,PValue,FDR,log10p,sig
13973,Migut.H01471.v2.0,-1.264384531,4.243237637,2.97E-06,0.000165711,5.527444535,TRUE
22804,Migut.M01060.v2.0,-1.577615478,3.940117142,2.99E-06,0.000166041,5.524077833,TRUE
8424,Migut.E01245.v2.0,-2.527866335,3.603372527,3.05E-06,0.000168297,5.515728553,TRUE
14842,Migut.H02340.v2.0,-1.11006852,6.819634216,3.07E-06,0.000168658,5.512321341,TRUE
22975,Migut.M01231.v2.0,-1.793270384,4.032263129,3.13E-06,0.000169493,5.503928007,TRUE
14402,Migut.H01900.v2.0,-1.853282797,4.283880875,3.14E-06,0.000169493,5.503130361,TRUE
16021,Migut.I00960.v2.0,-2.092167025,6.461532089,3.14E-06,0.000169493,5.502837235,TRUE
14398,Migut.H01896.v2.0,-0.986570142,4.911240517,3.17E-06,0.000170162,5.498707918,TRUE
6583,Migut.D02003.v2.0,2.856723562,5.538032962,3.25E-06,0.000173565,5.487702599,TRUE
15165,Migut.I00104.v2.0,1.862308846,4.202428115,3.33E-06,0.000176842,5.477185009,TRUE
15638,Migut.I00577.v2.0,-1.26829623,5.286962911,3.49E-06,0.000184333,5.456786955,TRUE
19786,Migut.L00097.v2.0,-1.016892618,6.755218676,3.53E-06,0.000185482,5.451722242,TRUE
8972,Migut.E01793.v2.0,-1.235844948,4.180876873,3.56E-06,0.000185754,5.44873301,TRUE
18294,Migut.K00122.v2.0,-1.932749264,3.948790805,3.70E-06,0.000190796,5.431593269,TRUE
26000,Migut.N02217.v2.0,-1.686548461,4.709227866,3.70E-06,0.000190796,5.431591875,TRUE
1888,Migut.B00643.v2.0,1.238787922,5.177934082,3.71E-06,0.000190796,5.430114657,TRUE
3959,Migut.C00791.v2.0,1.430397079,4.630034126,3.89E-06,0.00019865,5.4102912,TRUE
7545,Migut.E00366.v2.0,-1.081646461,4.835284631,3.92E-06,0.000199137,5.406588695,TRUE
24991,Migut.N01208.v2.0,-2.159771419,6.317760803,3.94E-06,0.000199137,5.40465728,TRUE
8049,Migut.E00870.v2.0,11.32456469,5.715157829,4.04E-06,0.000203318,5.393364574,TRUE
10890,Migut.F01882.v2.0,-1.310442797,5.026335111,4.08E-06,0.000203979,5.389700295,TRUE
26111,Migut.N02328.v2.0,1.976927736,8.23408977,4.30E-06,0.000213232,5.366140578,TRUE
637,Migut.A00637.v2.0,0.995880602,7.379021691,4.31E-06,0.000213232,5.365954769,TRUE
7293,Migut.E00114.v2.0,0.932234268,5.462704645,4.44E-06,0.000218718,5.352701743,TRUE
5362,Migut.D00782.v2.0,0.927652395,6.240228169,4.58E-06,0.000224321,5.339172538,TRUE
12565,Migut.H00063.v2.0,1.206866464,6.112407825,4.60E-06,0.000224321,5.337307424,TRUE
14914,Migut.H02412.v2.0,1.987161081,4.61699136,4.80E-06,0.000232761,5.319078128,TRUE
24560,Migut.N00777.v2.0,-2.113377971,6.903305047,5.03E-06,0.000242701,5.29874015,TRUE
16273,Migut.I01212.v2.0,-1.099009893,6.886346417,5.07E-06,0.000243807,5.294599894,TRUE
19955,Migut.L00266.v2.0,-0.972634251,4.94370796,5.28E-06,0.000252483,5.277259361,TRUE
13068,Migut.H00566.v2.0,-1.887215848,5.299335651,5.36E-06,0.000254803,5.271141718,TRUE
8714,Migut.E01535.v2.0,-2.700744536,4.809056555,5.69E-06,0.000269508,5.244640352,TRUE
17232,Migut.J00955.v2.0,-3.500982634,3.179953675,6.03E-06,0.00028388,5.219952907,TRUE
25301,Migut.N01518.v2.0,-1.731002737,8.823788737,6.12E-06,0.000286779,5.213427803,TRUE
18296,Migut.K00124.v2.0,3.337152886,5.08013957,6.25E-06,0.000291026,5.204014981,TRUE
14053,Migut.H01551.v2.0,1.439096751,7.698335464,6.27E-06,0.000291026,5.202847151,TRUE
15895,Migut.I00834.v2.0,-2.127374947,5.760376537,6.34E-06,0.000292787,5.19814391,TRUE
160,Migut.A00160.v2.0,-1.310603577,5.165196813,6.69E-06,0.000307723,5.174462593,TRUE
9152,Migut.F00144.v2.0,-2.204304557,7.250011296,6.97E-06,0.000318491,5.156515832,TRUE
2316,Migut.B01071.v2.0,1.179874866,5.514841563,6.99E-06,0.000318491,5.155409726,TRUE
16917,Migut.J00640.v2.0,-1.092865373,4.787885358,7.05E-06,0.000319542,5.151934406,TRUE
14147,Migut.H01645.v2.0,-0.996341806,6.90597013,7.24E-06,0.000326732,5.140236212,TRUE
7871,Migut.E00692.v2.0,-1.036535379,5.972144081,7.44E-06,0.0003341,5.128527363,TRUE
15807,Migut.I00746.v2.0,-0.927286524,8.810141003,7.61E-06,0.000338895,5.118435312,TRUE
27520,Migut.O00361.v2.0,-4.36235188,3.382957024,7.62E-06,0.000338895,5.118317353,TRUE
6023,Migut.D01443.v2.0,7.345885976,4.546183844,7.96E-06,0.0003525,5.0992266,TRUE
17743,Migut.J01466.v2.0,-1.651508091,10.75863805,8.00E-06,0.000352947,5.096688819,TRUE
1427,Migut.B00182.v2.0,-1.405072966,6.404333948,8.22E-06,0.000360729,5.085238135,TRUE
4436,Migut.C01268.v2.0,1.439046667,4.947486746,8.96E-06,0.000391362,5.047782393,TRUE
21947,Migut.M00203.v2.0,2.757446886,5.264283036,9.00E-06,0.000391362,5.045910987,TRUE
25383,Migut.N01600.v2.0,-0.963534596,7.782078395,9.18E-06,0.000397569,5.037125208,TRUE
24633,Migut.N00850.v2.0,-0.991436923,5.49026728,9.25E-06,0.000398622,5.034032666,TRUE
10352,Migut.F01344.v2.0,-3.056155434,3.680853708,9.52E-06,0.000407997,5.021257409,TRUE
20968,Migut.L01279.v2.0,2.116467506,5.223721785,9.55E-06,0.000407997,5.020077171,TRUE
3987,Migut.C00819.v2.0,-1.024025948,4.242042276,9.78E-06,0.000416034,5.009687621,TRUE
11034,Migut.F02026.v2.0,3.564823356,4.307445852,9.87E-06,0.000417957,5.005775923,TRUE
4563,Migut.C01395.v2.0,-1.108727223,4.874541111,1.02E-05,0.000430639,4.990893636,TRUE
143,Migut.A00143.v2.0,-1.30625888,6.576598664,1.04E-05,0.000436728,4.982903709,TRUE
19742,Migut.L00053.v2.0,-0.899693049,6.110636101,1.05E-05,0.000437502,4.980250673,TRUE
24898,Migut.N01115.v2.0,-1.130938902,7.206694214,1.06E-05,0.000440017,4.975884827,TRUE
23681,Migut.M01937.v2.0,0.810071757,6.769196675,1.12E-05,0.000463096,4.951815477,TRUE
17748,Migut.J01471.v2.0,1.249951231,4.83822717,1.13E-05,0.000464958,4.9482127,TRUE
25599,Migut.N01816.v2.0,1.367354424,6.039720999,1.15E-05,0.000473995,4.938000438,TRUE
21648,Migut.L01959.v2.0,-3.695714441,4.296600009,1.23E-05,0.00050143,4.91172011,TRUE
19470,Migut.K01298.v2.0,1.011328771,5.355427992,1.23E-05,0.000502446,4.909004554,TRUE
4982,Migut.D00402.v2.0,-1.338221852,4.078437726,1.24E-05,0.000503971,4.905794408,TRUE
6490,Migut.D01910.v2.0,1.291361682,6.769768239,1.25E-05,0.000503971,4.903542269,TRUE
16939,Migut.J00662.v2.0,-1.103927412,5.006884822,1.25E-05,0.000503971,4.902225089,TRUE
19089,Migut.K00917.v2.0,-2.631545753,4.268164298,1.28E-05,0.000512546,4.893092178,TRUE
8458,Migut.E01279.v2.0,-1.442709544,6.032991743,1.29E-05,0.000513177,4.890759987,TRUE
20425,Migut.L00736.v2.0,1.014192153,4.481838819,1.33E-05,0.000526824,4.877570484,TRUE
16409,Migut.J00132.v2.0,-2.492377266,5.374342466,1.34E-05,0.000529352,4.873707797,TRUE
11125,Migut.F02117.v2.0,-1.290726908,5.570013581,1.34E-05,0.000530051,4.871358293,TRUE
22965,Migut.M01221.v2.0,1.00890578,5.155646649,1.36E-05,0.000532872,4.867283865,TRUE
26021,Migut.N02238.v2.0,-1.168673703,5.811602832,1.36E-05,0.000533001,4.865416872,TRUE
17915,Migut.J01638.v2.0,1.198745761,5.913214536,1.41E-05,0.000549116,4.850726836,TRUE
24632,Migut.N00849.v2.0,-0.949480796,5.144440863,1.45E-05,0.000563979,4.837380213,TRUE
2900,Migut.B01655.v2.0,-1.110799978,4.266404267,1.48E-05,0.000572961,4.828777236,TRUE
13464,Migut.H00962.v2.0,0.909921069,4.708297304,1.55E-05,0.000595592,4.810219722,TRUE
11101,Migut.F02093.v2.0,5.048035343,4.380326453,1.58E-05,0.000604159,4.802290611,TRUE
18306,Migut.K00134.v2.0,-1.248294182,4.920152628,1.60E-05,0.000610916,4.795740281,TRUE
14028,Migut.H01526.v2.0,1.226526284,5.768805564,1.62E-05,0.000617566,4.789325074,TRUE
6591,Migut.D02011.v2.0,11.61956742,4.126043651,1.71E-05,0.000645991,4.768075377,TRUE
10780,Migut.F01772.v2.0,-0.928497454,5.094469145,1.75E-05,0.000660559,4.756690617,TRUE
8789,Migut.E01610.v2.0,5.458370488,3.883603581,1.78E-05,0.000668033,4.750111507,TRUE
21616,Migut.L01927.v2.0,0.909279453,9.157510376,1.83E-05,0.000685044,4.737504213,TRUE
27895,Migut.O00736.v2.0,1.615186592,6.258349817,1.85E-05,0.000689153,4.73322668,TRUE
27626,Migut.O00467.v2.0,-2.564711863,3.879424178,1.86E-05,0.00069235,4.729543066,TRUE
23732,Migut.M01988.v2.0,1.383510008,7.18473306,1.92E-05,0.000709641,4.717162738,TRUE
