"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"25064","Migut.N01281.v2.0",250,244,36,112,149,116,85,202,1102,41,1492,94,338,104,89,212,168,77,97,189,18,278
"25065","Migut.N01282.v2.0",120,157,12,92,199,57,54,131,999,32,1393,88,222,94,98,62,102,37,39,229,16,257
"25066","Migut.N01283.v2.0",1,0,0,4,14,3,0,1,28,0,48,1,3,10,1,1,0,0,0,11,0,1
"25067","Migut.N01284.v2.0",139,151,35,37,56,86,46,171,408,22,618,61,258,60,119,88,118,32,71,88,5,133
"25068","Migut.N01285.v2.0",155,180,23,94,185,91,72,150,1189,51,1737,109,340,74,100,125,87,67,77,161,10,199
"25069","Migut.N01286.v2.0",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25070","Migut.N01287.v2.0",0,0,0,0,2,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0
"25071","Migut.N01288.v2.0",81,109,19,99,251,90,75,139,2525,100,2839,105,234,77,79,50,31,36,19,115,12,111
"25072","Migut.N01289.v2.0",0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0
"25073","Migut.N01290.v2.0",0,0,0,0,0,0,0,0,2,0,10,0,3,0,0,0,0,0,0,0,0,0
"25074","Migut.N01291.v2.0",20,12,0,16,13,0,13,2,93,0,62,19,18,22,3,6,1,0,2,31,2,4
