"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"14291","Migut.H01789.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14292","Migut.H01790.v2.0",839,950,148,288,387,389,279,827,2995,178,4553,395,1572,251,485,676,821,314,337,1036,44,1182
"14293","Migut.H01791.v2.0",58,81,5,31,70,31,30,77,487,28,641,31,129,31,51,18,43,16,13,100,6,82
"14294","Migut.H01792.v2.0",18,15,2,2,42,20,8,34,214,3,341,12,41,5,10,19,13,8,3,30,0,23
"14295","Migut.H01793.v2.0",170,154,14,68,116,114,55,121,596,50,855,123,275,82,78,163,88,61,91,85,8,125
"14296","Migut.H01794.v2.0",2,5,1,0,0,0,0,8,191,0,253,4,6,1,6,0,1,2,3,5,0,6
"14297","Migut.H01795.v2.0",153,234,30,79,193,100,81,257,1135,37,1242,75,319,78,129,92,86,55,43,123,17,335
"14298","Migut.H01796.v2.0",124,128,26,124,137,81,65,95,823,17,1324,70,183,97,77,60,72,44,48,163,12,287
"14299","Migut.H01797.v2.0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14300","Migut.H01798.v2.0",609,413,110,287,341,421,366,690,2356,95,3329,486,673,354,420,406,258,276,192,422,26,591
"14301","Migut.H01799.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14302","Migut.H01800.v2.0",164,196,33,59,106,143,103,258,898,49,1218,113,368,98,122,149,134,63,64,162,7,222
"14303","Migut.H01801.v2.0",100,129,16,50,57,40,33,97,559,11,737,126,171,83,75,45,62,17,27,59,3,47
"14304","Migut.H01802.v2.0",18,12,0,6,9,8,10,21,80,2,134,7,17,7,2,9,11,2,6,11,0,8
"14305","Migut.H01803.v2.0",3184,3510,252,2625,5668,963,1317,2507,18386,752,22086,2447,7759,1519,2912,1454,1715,1481,1211,13897,671,6222
"14306","Migut.H01804.v2.0",47,73,8,42,48,38,34,63,293,17,438,42,77,27,41,39,33,23,12,61,5,100
"14307","Migut.H01805.v2.0",51,26,7,13,27,17,17,63,108,12,129,40,44,23,38,32,3,23,17,26,0,8
"14308","Migut.H01806.v2.0",462,750,85,332,368,248,273,606,2591,83,3808,284,1072,382,428,342,383,169,198,468,36,753
"14309","Migut.H01807.v2.0",36,26,12,30,78,44,46,71,770,27,971,29,66,27,13,51,61,25,30,220,11,166
"14310","Migut.H01808.v2.0",2,2,0,0,2,0,2,0,22,0,17,1,3,3,1,1,0,0,2,0,0,1
"14311","Migut.H01809.v2.0",342,512,51,265,460,248,178,377,3541,132,4713,215,629,202,249,172,277,140,129,376,37,724
"14312","Migut.H01810.v2.0",1,6,0,0,1,2,1,5,32,5,36,1,5,1,4,0,5,0,0,1,0,0
"14313","Migut.H01811.v2.0",116,223,6,26,48,109,77,196,1090,98,1189,18,158,26,91,120,111,60,37,180,8,310
"14314","Migut.H01812.v2.0",8,7,7,2,11,12,12,20,65,3,122,18,9,13,21,6,3,18,1,11,1,15
"14315","Migut.H01813.v2.0",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"14316","Migut.H01814.v2.0",140,222,29,99,164,76,72,155,1036,34,1367,96,374,98,128,91,125,66,77,163,14,222
"14317","Migut.H01815.v2.0",15,30,0,16,28,17,12,16,154,7,184,6,41,8,16,13,12,7,11,20,1,28
"14318","Migut.H01816.v2.0",111,149,35,73,221,108,93,163,1547,73,2186,66,215,70,107,72,69,53,53,211,8,248
"14319","Migut.H01817.v2.0",11,25,3,2,16,13,3,6,95,0,131,9,48,9,18,8,7,0,6,21,0,13
"14320","Migut.H01818.v2.0",881,975,124,357,365,543,370,1342,2854,158,3871,601,1945,498,680,546,646,322,281,618,37,969
"14321","Migut.H01819.v2.0",7,14,1,4,10,3,2,6,27,0,51,2,21,2,7,3,8,2,0,9,0,16
"14322","Migut.H01820.v2.0",4,8,0,6,1,8,4,6,54,4,80,0,13,8,2,7,5,6,1,7,0,6
"14323","Migut.H01821.v2.0",1,4,0,0,16,4,1,3,40,5,65,1,11,0,3,0,0,0,0,2,0,11
"14324","Migut.H01822.v2.0",1,12,6,8,12,6,6,50,286,16,327,8,25,9,7,6,0,0,13,9,2,20
"14325","Migut.H01823.v2.0",118,128,24,69,115,107,50,158,639,29,980,57,226,49,72,98,65,49,55,108,5,123
"14326","Migut.H01824.v2.0",89,80,15,54,57,56,36,72,516,15,708,72,173,33,64,55,68,34,41,62,0,125
"14327","Migut.H01825.v2.0",1473,1352,164,564,1126,925,546,1749,10274,523,12531,1162,3313,702,1378,1073,633,865,441,2251,96,1412
"14328","Migut.H01826.v2.0",2,0,0,5,4,0,0,6,3,1,10,2,3,0,0,0,2,0,0,5,0,4
"14329","Migut.H01827.v2.0",172,231,39,144,289,183,129,281,1728,83,2230,94,326,170,116,235,190,81,87,239,29,337
"14330","Migut.H01828.v2.0",283,316,57,139,276,177,181,311,1851,74,2574,185,432,168,194,146,158,106,80,230,19,295
"14331","Migut.H01829.v2.0",0,4,0,0,0,0,0,0,0,1,5,0,1,0,3,0,0,0,0,1,0,0
"14332","Migut.H01830.v2.0",80,77,10,39,28,30,26,52,475,14,680,45,136,37,33,72,53,18,18,54,6,116
"14333","Migut.H01831.v2.0",564,615,127,296,844,449,364,717,5119,204,6682,316,1039,259,363,455,288,224,209,614,47,751
"14334","Migut.H01832.v2.0",2,1,1,0,2,4,1,2,13,1,19,0,2,0,0,2,2,0,0,1,0,1
"14335","Migut.H01833.v2.0",1085,1057,151,331,435,526,333,922,6091,237,8544,504,2041,405,661,710,926,414,367,1330,72,1338
"14336","Migut.H01834.v2.0",0,2,0,0,0,0,2,0,1,0,3,1,5,2,0,0,0,0,0,2,0,0
"14337","Migut.H01835.v2.0",4,13,2,15,6,2,1,2,43,0,78,16,35,0,10,7,1,0,0,13,0,16
"14338","Migut.H01836.v2.0",6,3,0,0,0,2,1,0,4,0,2,14,41,15,10,0,0,0,0,0,0,0
"14339","Migut.H01837.v2.0",130,204,18,128,65,89,66,167,787,23,1007,153,366,137,143,66,66,38,23,102,8,138
"14340","Migut.H01838.v2.0",91,81,15,40,27,64,21,67,299,21,365,81,232,32,52,58,54,29,33,52,1,39
"14341","Migut.H01839.v2.0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14342","Migut.H01840.v2.0",205,190,32,75,248,160,79,219,1848,79,2313,127,459,88,107,161,129,60,113,244,8,221
"14343","Migut.H01841.v2.0",144,105,13,71,186,79,87,102,902,34,1393,75,123,73,52,59,65,40,17,140,13,160
"14344","Migut.H01842.v2.0",67,87,11,47,49,24,35,56,327,9,490,62,124,46,45,31,35,17,31,71,9,88
"14345","Migut.H01843.v2.0",50,58,12,34,58,32,15,53,288,5,322,35,92,22,27,49,42,31,14,50,1,86
"14346","Migut.H01844.v2.0",27,16,3,4,8,13,8,19,55,6,68,5,21,1,4,7,11,3,1,10,1,26
"14347","Migut.H01845.v2.0",111,146,26,86,153,66,75,142,1237,36,1454,75,213,63,87,75,94,55,33,155,13,251
"14348","Migut.H01846.v2.0",524,568,88,275,515,256,246,392,3089,105,3789,398,946,406,353,385,285,145,147,626,27,667
"14349","Migut.H01847.v2.0",21,34,12,29,34,34,28,32,232,3,289,18,21,42,9,28,23,9,17,43,4,78
"14350","Migut.H01848.v2.0",18,29,5,18,91,13,12,40,280,0,443,27,8,70,37,5,5,6,8,38,6,24
"14351","Migut.H01849.v2.0",13,12,1,7,23,14,16,17,203,10,252,15,21,9,13,21,19,9,5,20,0,29
"14352","Migut.H01850.v2.0",4278,4105,417,2151,1999,2195,1734,4607,16531,773,20101,2930,7127,2079,2564,2785,2774,1746,1384,3699,217,4463
"14353","Migut.H01851.v2.0",385,320,44,35,369,163,147,274,1875,123,2768,58,191,62,76,356,401,179,330,706,27,572
"14354","Migut.H01852.v2.0",1655,1793,484,684,1913,964,1084,1963,10804,479,13360,1095,3628,1351,1646,1098,642,651,655,2198,106,1803
"14355","Migut.H01853.v2.0",4596,5086,1259,3698,5990,2818,4586,7909,42377,1495,53356,5338,15265,5509,7340,2230,1787,1335,1499,4878,323,4623
"14356","Migut.H01854.v2.0",184,232,22,81,192,105,88,155,807,19,1092,121,246,117,87,177,154,80,84,150,16,250
"14357","Migut.H01855.v2.0",15,24,6,15,39,7,13,12,256,7,287,4,43,14,19,8,23,12,13,42,8,82
"14358","Migut.H01856.v2.0",127,188,28,81,139,96,53,125,958,33,1314,83,310,91,103,88,97,55,37,153,12,219
"14359","Migut.H01857.v2.0",393,371,50,100,203,141,125,294,1415,61,2049,205,384,195,186,206,207,139,104,297,24,338
"14360","Migut.H01858.v2.0",232,311,48,167,321,140,152,265,1716,61,2417,131,397,145,162,213,209,61,151,344,15,353
"14361","Migut.H01859.v2.0",532,524,86,382,509,279,289,483,2960,152,4404,422,1053,334,431,229,307,183,218,634,41,702
"14362","Migut.H01860.v2.0",54,45,9,25,57,9,9,21,250,8,292,8,32,11,15,26,35,19,13,50,5,114
"14363","Migut.H01861.v2.0",796,656,74,175,355,293,358,476,1539,66,2253,394,753,284,317,380,365,291,221,554,40,664
"14364","Migut.H01862.v2.0",558,708,88,265,343,363,272,546,2888,164,4169,403,1030,437,474,294,293,211,259,490,28,470
"14365","Migut.H01863.v2.0",0,0,0,0,0,0,7,5,20,0,13,0,0,0,0,0,0,0,1,0,0,0
"14366","Migut.H01864.v2.0",1,1,2,3,7,5,3,4,23,3,65,2,1,14,2,3,1,1,0,1,1,14
"14367","Migut.H01865.v2.0",16,11,0,1,12,0,5,12,81,1,146,0,13,1,14,5,2,1,2,4,0,5
"14368","Migut.H01866.v2.0",4,4,0,1,15,14,3,21,86,6,98,12,20,2,5,9,16,3,10,20,0,10
"14369","Migut.H01867.v2.0",1084,1168,176,793,1143,748,335,1217,6592,300,9057,834,2705,577,1071,878,737,615,324,1322,74,2622
"14370","Migut.H01868.v2.0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14371","Migut.H01869.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14372","Migut.H01870.v2.0",1886,1543,240,788,1693,756,1004,1365,11027,289,14311,1282,1749,1346,721,873,845,745,452,1730,195,2189
"14373","Migut.H01871.v2.0",87,63,12,43,87,76,77,121,821,33,1262,30,135,61,52,43,42,28,40,63,10,98
"14374","Migut.H01872.v2.0",1,1,0,0,0,3,0,5,87,1,104,0,3,0,0,1,1,0,0,2,0,4
"14375","Migut.H01873.v2.0",291,351,50,421,367,381,343,571,2942,514,3666,234,1031,239,337,378,258,122,94,1121,25,436
"14376","Migut.H01874.v2.0",0,1,0,0,5,0,0,0,34,0,64,0,1,0,1,0,0,0,0,0,0,0
"14377","Migut.H01875.v2.0",38,40,10,26,30,29,22,44,268,16,317,20,118,20,25,67,50,15,20,45,5,48
"14378","Migut.H01876.v2.0",101,109,15,58,115,120,41,100,757,36,1135,64,132,32,41,130,52,24,19,66,7,73
"14379","Migut.H01877.v2.0",65,115,12,29,88,68,64,136,593,21,778,38,140,46,61,58,48,37,15,108,6,117
"14380","Migut.H01878.v2.0",223,216,22,78,114,84,71,191,900,48,1202,123,325,78,127,132,118,83,77,172,15,232
"14381","Migut.H01879.v2.0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14382","Migut.H01880.v2.0",20,31,8,8,19,15,8,25,127,5,146,3,61,37,32,13,8,10,9,22,0,18
"14383","Migut.H01881.v2.0",44,42,3,46,44,112,60,124,201,11,406,13,51,16,14,88,23,15,31,58,4,77
"14384","Migut.H01882.v2.0",28,4,3,0,0,26,1,29,110,57,119,0,17,0,0,74,55,17,4,9,0,22
"14385","Migut.H01883.v2.0",49,12,1,3,1,15,0,24,42,15,68,8,101,0,9,78,36,10,3,13,2,17
"14386","Migut.H01884.v2.0",80,84,9,25,83,66,28,83,747,40,971,29,304,6,43,84,80,52,35,106,3,81
"14387","Migut.H01885.v2.0",25,23,2,23,51,26,7,37,267,15,293,18,79,14,24,25,26,9,1,26,1,50
"14388","Migut.H01886.v2.0",67,36,10,43,170,45,31,72,987,83,1410,35,203,24,42,20,43,14,29,121,4,84
"14389","Migut.H01887.v2.0",8,21,1,12,25,9,9,11,180,23,251,9,88,12,11,29,13,18,8,13,0,35
"14390","Migut.H01888.v2.0",1,3,2,0,0,0,0,1,0,0,0,1,1,1,4,0,0,0,0,0,0,0
"14391","Migut.H01889.v2.0",1,4,0,4,0,9,3,7,24,1,24,0,9,1,3,2,3,0,0,3,0,3
"14392","Migut.H01890.v2.0",0,4,0,1,9,0,0,4,39,3,47,0,0,0,0,1,12,6,3,7,2,18
"14393","Migut.H01891.v2.0",153,79,15,43,146,123,96,177,1024,73,1353,50,139,26,42,215,164,84,99,164,11,212
"14394","Migut.H01892.v2.0",122,157,16,113,116,52,55,131,640,40,802,83,337,72,100,104,110,80,90,225,6,114
"14395","Migut.H01893.v2.0",9,7,2,2,2,5,6,19,63,0,86,8,25,2,13,5,4,3,2,9,0,5
"14396","Migut.H01894.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"14397","Migut.H01895.v2.0",275,280,51,104,240,175,129,273,1687,84,2452,164,573,126,212,250,180,84,122,317,30,244
"14398","Migut.H01896.v2.0",142,208,29,90,157,124,122,259,1424,46,2087,60,204,83,84,128,171,75,105,263,21,279
"14399","Migut.H01897.v2.0",50,44,13,11,11,32,19,52,159,12,304,14,37,8,30,28,19,27,29,86,4,69
"14400","Migut.H01898.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14401","Migut.H01899.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14402","Migut.H01900.v2.0",104,117,13,90,27,57,60,118,661,28,1055,45,102,60,75,75,77,57,30,255,31,395
"14403","Migut.H01901.v2.0",6756,11924,710,6348,7472,2142,8450,5183,60237,651,71936,7613,8908,12458,5801,2837,2254,2739,1556,9443,1345,13280
"14404","Migut.H01902.v2.0",96,89,27,68,144,86,65,145,924,42,1474,46,138,38,66,81,107,46,46,209,2,211
"14405","Migut.H01903.v2.0",38,38,3,33,77,24,13,35,302,15,329,32,163,29,43,13,26,12,19,52,3,71
"14406","Migut.H01904.v2.0",228,261,43,85,257,85,87,163,1253,53,1617,154,558,145,195,134,149,86,65,289,19,258
"14407","Migut.H01905.v2.0",20,24,9,24,13,20,21,44,162,11,217,21,71,11,27,4,11,5,8,21,0,22
"14408","Migut.H01906.v2.0",116,16,4,1,1,69,10,32,47,71,96,25,496,6,6,256,86,49,102,8,0,8
"14409","Migut.H01907.v2.0",138,13,4,0,2,27,5,8,22,20,42,27,883,0,6,220,106,30,44,4,0,4
"14410","Migut.H01908.v2.0",202,131,31,100,84,92,54,158,430,60,628,166,735,115,185,65,38,48,40,47,3,78
"14411","Migut.H01909.v2.0",1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,0,0
"14412","Migut.H01910.v2.0",63,127,7,290,122,99,122,95,617,21,954,80,119,89,65,65,51,27,31,121,7,168
"14413","Migut.H01911.v2.0",67,93,11,37,73,58,40,95,696,55,1189,37,104,87,56,38,19,25,39,91,7,77
"14414","Migut.H01912.v2.0",215,224,22,93,234,141,118,247,1622,63,2529,89,376,99,162,175,141,65,146,230,18,229
"14415","Migut.H01913.v2.0",221,278,24,157,388,81,139,150,1959,27,2215,187,336,241,172,109,107,75,72,330,34,334
"14416","Migut.H01914.v2.0",3387,4291,428,2301,3065,1835,2559,3222,22952,855,28110,2997,7039,2877,2627,1679,1876,1262,1120,4867,301,5887
"14417","Migut.H01915.v2.0",62,45,4,30,46,9,6,35,218,10,348,51,102,17,53,19,17,13,5,53,2,78
"14418","Migut.H01916.v2.0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14419","Migut.H01917.v2.0",238,221,23,176,159,75,71,151,1134,18,1458,156,334,180,128,61,80,41,36,114,12,206
"14420","Migut.H01918.v2.0",0,0,0,0,0,1,6,1,33,1,19,0,5,0,0,0,0,0,0,0,0,0
"14421","Migut.H01919.v2.0",127,184,21,113,348,73,84,168,943,31,1579,136,235,90,135,91,85,43,59,234,7,256
"14422","Migut.H01920.v2.0",126,197,43,179,136,151,148,305,1829,62,2954,156,269,205,153,66,57,19,35,101,8,229
"14423","Migut.H01921.v2.0",219,228,39,158,189,106,142,205,1007,32,1599,162,254,151,164,82,81,62,81,211,10,242
"14424","Migut.H01922.v2.0",42,470,12,783,281,50,158,74,1756,3,4635,20,71,201,55,24,7,3,12,14,13,57
"14425","Migut.H01923.v2.0",74,121,14,116,153,52,39,83,509,23,752,117,266,103,110,32,36,25,24,43,3,128
"14426","Migut.H01924.v2.0",90,69,10,39,79,78,25,84,482,27,669,42,196,39,27,135,61,26,57,57,5,71
"14427","Migut.H01925.v2.0",14,25,3,13,18,7,9,18,75,2,163,10,25,14,11,12,4,2,1,35,7,16
"14428","Migut.H01926.v2.0",57,69,11,25,30,41,23,59,248,3,331,37,106,23,38,35,20,15,17,27,3,41
"14429","Migut.H01927.v2.0",231,297,44,85,158,145,158,302,1468,43,2082,85,281,119,108,168,201,93,132,295,17,473
"14430","Migut.H01928.v2.0",92,80,17,201,86,66,84,121,603,29,898,70,116,63,71,56,67,42,46,178,9,187
"14431","Migut.H01929.v2.0",32,58,4,27,40,35,19,43,262,10,366,18,86,26,28,40,18,20,12,32,1,45
"14432","Migut.H01930.v2.0",82,102,13,83,172,58,54,100,794,29,843,150,250,104,63,62,35,36,25,54,1,68
"14433","Migut.H01931.v2.0",52,88,9,41,76,42,31,97,423,15,530,51,191,48,51,64,75,33,36,58,8,99
"14434","Migut.H01932.v2.0",6104,11426,1320,4018,5459,4040,4577,7082,41966,1228,52666,5408,12664,6558,5989,4178,5098,3437,1952,8817,802,13967
"14435","Migut.H01933.v2.0",83,42,14,16,107,93,38,88,703,73,792,30,380,29,53,126,73,35,89,70,1,34
"14436","Migut.H01934.v2.0",414,523,62,227,363,239,128,369,2272,122,3231,273,818,202,290,290,305,127,184,536,33,563
"14437","Migut.H01935.v2.0",0,0,0,0,3,17,22,24,1,7,3,0,0,0,0,0,1,0,1,1,0,0
"14438","Migut.H01936.v2.0",501,534,87,183,452,382,264,586,2270,123,3521,298,1197,283,349,457,400,133,256,384,28,436
"14439","Migut.H01937.v2.0",12,24,1,2,2,13,6,17,75,12,69,9,29,0,10,27,14,6,3,8,0,15
"14440","Migut.H01938.v2.0",257,210,14,146,163,135,75,202,751,28,1089,133,344,95,93,173,166,82,65,170,16,292
"14441","Migut.H01939.v2.0",140,147,14,71,94,92,54,134,579,34,896,70,171,66,54,109,135,40,62,120,8,159
"14442","Migut.H01940.v2.0",191,246,48,176,452,159,149,230,2503,58,3960,158,272,117,134,155,145,78,91,402,25,458
"14443","Migut.H01941.v2.0",786,941,159,410,1511,537,340,792,7644,274,11252,478,1478,399,616,502,623,387,326,1932,76,1765
"14444","Migut.H01942.v2.0",72,52,17,41,75,41,35,73,544,24,732,53,166,37,25,46,36,23,24,55,7,87
"14445","Migut.H01943.v2.0",505,419,47,110,352,165,127,306,2071,100,3128,327,686,123,238,248,219,134,125,389,13,467
"14446","Migut.H01944.v2.0",190,298,40,130,186,104,107,173,1194,42,1521,137,371,154,130,148,176,93,60,255,19,343
"14447","Migut.H01945.v2.0",387,452,55,230,399,201,166,331,2437,78,2928,189,475,191,178,237,298,118,136,385,33,521
"14448","Migut.H01946.v2.0",218,399,37,970,335,194,68,304,1851,28,2994,203,607,177,236,208,204,105,52,312,24,724
"14449","Migut.H01947.v2.0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14450","Migut.H01948.v2.0",0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,0,1
"14451","Migut.H01949.v2.0",849,1105,166,533,784,1009,903,1693,4429,165,6336,725,1567,497,638,496,504,249,336,1040,55,1548
"14452","Migut.H01950.v2.0",123,157,16,101,221,77,27,112,1035,24,1294,79,324,87,109,82,111,53,60,212,8,231
"14453","Migut.H01951.v2.0",6,1,0,2,9,1,0,5,30,0,44,0,1,2,1,2,0,0,0,0,0,1
"14454","Migut.H01952.v2.0",61,109,7,89,152,73,57,95,821,29,1334,37,123,56,66,31,53,39,29,140,10,177
"14455","Migut.H01953.v2.0",182,247,25,134,238,121,105,218,1474,54,2236,113,368,108,141,146,170,85,68,304,18,360
"14456","Migut.H01954.v2.0",68,84,16,52,66,31,24,114,329,27,604,75,260,50,85,64,69,40,54,66,7,48
"14457","Migut.H01955.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14458","Migut.H01956.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14459","Migut.H01957.v2.0",979,1464,187,641,1222,533,630,961,6751,181,7947,724,1743,1044,680,797,864,489,275,1355,112,2207
"14460","Migut.H01958.v2.0",205,262,30,108,177,143,119,217,1183,65,1507,144,477,140,134,154,154,73,91,166,7,206
"14461","Migut.H01959.v2.0",2,0,0,0,1,0,0,3,9,1,12,0,2,0,0,0,0,0,0,1,0,1
"14462","Migut.H01960.v2.0",0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0
"14463","Migut.H01961.v2.0",57,26,10,35,115,13,9,25,619,17,1147,15,19,15,17,27,23,11,3,77,6,98
"14464","Migut.H01962.v2.0",170,199,34,104,208,112,71,162,933,38,1270,73,291,83,89,117,137,57,98,227,4,210
"14465","Migut.H01963.v2.0",139,135,21,33,158,97,60,164,1133,42,1755,50,125,57,78,94,95,77,27,188,17,312
"14466","Migut.H01964.v2.0",166,464,52,187,192,151,200,302,1555,49,2159,296,839,318,338,112,129,75,69,243,17,305
"14467","Migut.H01965.v2.0",0,2,0,0,0,0,0,0,7,0,16,0,1,1,0,0,0,0,0,1,0,1
"14468","Migut.H01966.v2.0",198,272,44,99,194,132,136,208,1399,26,1859,174,446,138,159,120,163,82,88,302,13,300
"14469","Migut.H01967.v2.0",23,86,2,154,12,15,25,40,137,1,100,25,95,194,27,3,26,6,3,12,12,172
"14470","Migut.H01968.v2.0",665,710,97,391,356,361,290,850,3542,164,5078,611,1462,338,677,225,286,172,95,481,33,665
"14471","Migut.H01969.v2.0",24,47,11,19,48,19,24,45,341,14,429,29,119,19,36,33,31,12,14,35,11,55
"14472","Migut.H01970.v2.0",114,109,10,56,140,74,45,116,1057,42,1370,69,181,65,73,75,70,27,28,128,8,114
"14473","Migut.H01971.v2.0",244,34,2,14,21,131,21,149,70,4,114,15,208,14,10,415,87,72,49,23,5,10
"14474","Migut.H01972.v2.0",0,3,0,0,0,0,1,1,3,0,6,4,1,5,0,0,0,0,0,3,0,0
"14475","Migut.H01973.v2.0",0,3,0,0,2,0,0,0,10,0,8,0,1,1,0,0,0,0,0,2,0,0
"14476","Migut.H01974.v2.0",431,837,143,640,1023,469,410,646,5776,129,8540,312,1146,421,712,292,322,198,143,912,91,1210
"14477","Migut.H01975.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14478","Migut.H01976.v2.0",233,330,36,156,263,133,132,306,2361,128,3395,136,514,129,217,171,136,110,97,523,14,301
"14479","Migut.H01977.v2.0",82,108,9,39,79,67,59,98,429,14,576,71,196,78,52,124,95,37,31,62,6,67
"14480","Migut.H01978.v2.0",372,571,74,177,377,250,225,373,2467,67,3148,278,753,353,272,357,307,140,119,374,28,440
"14481","Migut.H01979.v2.0",127,108,19,59,111,70,45,87,859,30,1340,89,179,60,56,86,65,41,43,96,13,95
"14482","Migut.H01980.v2.0",190,169,16,132,239,93,73,123,1356,25,1735,140,269,117,97,89,130,70,50,205,28,284
"14483","Migut.H01981.v2.0",294,225,57,143,360,377,239,426,3064,175,3853,218,667,162,152,397,239,129,125,298,26,293
"14484","Migut.H01982.v2.0",1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,1,0,0,0
"14485","Migut.H01983.v2.0",71,49,0,39,42,31,16,33,320,12,487,19,123,22,28,38,23,24,11,30,1,55
"14486","Migut.H01984.v2.0",124,125,14,65,64,81,63,106,553,47,656,120,247,54,70,114,72,45,58,138,13,122
"14487","Migut.H01985.v2.0",341,477,62,202,295,218,197,427,2036,75,2848,274,721,244,282,274,302,101,138,332,37,357
"14488","Migut.H01986.v2.0",76,137,15,59,140,64,48,100,793,27,1194,40,163,60,54,70,74,54,46,142,13,142
"14489","Migut.H01987.v2.0",125,137,16,48,131,96,58,117,603,34,793,39,144,35,44,128,89,40,75,113,1,185
"14490","Migut.H01988.v2.0",76,178,34,297,160,72,158,128,874,13,1384,106,145,144,82,56,42,30,21,70,24,209
"14491","Migut.H01989.v2.0",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14492","Migut.H01990.v2.0",1518,1443,219,594,704,872,607,1698,5194,195,6434,1128,2787,777,1000,937,1021,576,496,1012,81,1416
"14493","Migut.H01991.v2.0",10,14,7,21,15,6,4,17,82,1,106,26,53,27,21,24,14,8,5,28,3,70
"14494","Migut.H01992.v2.0",54,112,11,49,94,54,43,102,480,19,745,59,184,23,57,73,65,30,38,61,6,111
"14495","Migut.H01993.v2.0",157,193,25,71,178,137,88,143,947,57,1446,79,183,79,78,141,114,67,56,206,8,198
"14496","Migut.H01994.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"14497","Migut.H01995.v2.0",161,179,33,64,254,88,94,179,1276,39,1866,102,157,106,62,138,103,63,50,142,12,184
"14498","Migut.H01996.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14499","Migut.H01997.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14500","Migut.H01998.v2.0",66,90,9,45,74,43,33,80,543,11,657,45,156,41,52,60,41,24,37,60,6,134
"14501","Migut.H01999.v2.0",230,188,51,108,199,168,100,293,1781,108,2442,197,722,107,216,197,148,109,105,195,9,253
"14502","Migut.H02000.v2.0",238,244,40,117,156,111,124,234,1497,88,1895,133,525,119,154,173,145,72,89,272,14,286
"14503","Migut.H02001.v2.0",70,57,7,32,32,72,38,53,266,13,395,32,72,28,22,56,33,40,13,33,3,89
"14504","Migut.H02002.v2.0",65,64,2,41,59,35,24,85,384,21,609,51,135,30,39,61,43,13,46,58,3,58
