,genes,logFC,logCPM,PValue,FDR,log10p,sig
7458,Migut.E00279.v2.0,-0.047765269,5.552694225,0.875862403,0.945377412,0.057564115,FALSE
4752,Migut.D00172.v2.0,0.042644027,4.37813028,0.875867782,0.945377412,0.057561449,FALSE
20757,Migut.L01068.v2.0,0.098387098,4.257261355,0.875899721,0.945377412,0.057545612,FALSE
22343,Migut.M00599.v2.0,0.042112781,8.680674022,0.87599814,0.945377412,0.057496816,FALSE
17943,Migut.J01666.v2.0,0.048118071,6.553370559,0.87601709,0.945377412,0.057487421,FALSE
20477,Migut.L00788.v2.0,-0.032347574,4.597074086,0.876058986,0.945377412,0.057466651,FALSE
8190,Migut.E01011.v2.0,-0.045936331,3.819202471,0.876099833,0.945377412,0.057446402,FALSE
8943,Migut.E01764.v2.0,0.032853072,5.198204993,0.876102042,0.945377412,0.057445308,FALSE
15223,Migut.I00162.v2.0,0.070846941,4.169257608,0.876165252,0.945377412,0.057413975,FALSE
27154,Migut.N03371.v2.0,0.061951173,3.791202809,0.876310634,0.945428644,0.057341918,FALSE
15898,Migut.I00837.v2.0,-0.040547138,7.835096762,0.876439497,0.945429747,0.057278059,FALSE
20969,Migut.L01280.v2.0,-0.064911203,5.468754326,0.876805,0.945429747,0.057096982,FALSE
12974,Migut.H00472.v2.0,0.087854062,4.371270045,0.876820698,0.945429747,0.057089207,FALSE
24185,Migut.N00402.v2.0,0.021713327,5.156617449,0.876862725,0.945429747,0.057068391,FALSE
15738,Migut.I00677.v2.0,0.066798288,4.66492661,0.8769123,0.945429747,0.057043838,FALSE
3317,Migut.C00149.v2.0,0.066875922,4.905355248,0.877084437,0.945429747,0.056958595,FALSE
18689,Migut.K00517.v2.0,0.032329455,6.733892782,0.877137011,0.945429747,0.056932563,FALSE
3865,Migut.C00697.v2.0,-0.049906651,7.202149441,0.87727525,0.945429747,0.056864123,FALSE
25907,Migut.N02124.v2.0,-0.045303324,4.151840114,0.877375331,0.945429747,0.056814581,FALSE
10384,Migut.F01376.v2.0,-0.046709037,6.108475216,0.877388441,0.945429747,0.056808091,FALSE
14930,Migut.H02428.v2.0,-0.059315559,7.690688629,0.877519426,0.945429747,0.056743261,FALSE
20381,Migut.L00692.v2.0,-0.042291291,6.481305511,0.877729049,0.945429747,0.056639528,FALSE
23694,Migut.M01950.v2.0,-0.034754123,4.437878313,0.877733158,0.945429747,0.056637495,FALSE
27419,Migut.O00260.v2.0,0.079635538,4.048320848,0.877768068,0.945429747,0.056620222,FALSE
3089,Migut.B01844.v2.0,0.035078356,5.081094427,0.877783662,0.945429747,0.056612507,FALSE
7599,Migut.E00420.v2.0,0.003899468,5.295379952,0.877878072,0.945429747,0.056565799,FALSE
1034,Migut.A01034.v2.0,0.041160238,5.846172523,0.87798995,0.945444798,0.056510455,FALSE
9482,Migut.F00474.v2.0,-0.055239482,6.252317101,0.878112089,0.945470894,0.056450044,FALSE
13381,Migut.H00879.v2.0,-0.060263242,4.696793641,0.878248358,0.945512195,0.056382654,FALSE
9273,Migut.F00265.v2.0,0.029349818,8.104830864,0.878652831,0.945842201,0.056182687,FALSE
21903,Migut.M00159.v2.0,-0.138367984,4.759687022,0.879362486,0.946476844,0.055832065,FALSE
9647,Migut.F00639.v2.0,0.023413838,4.378744817,0.879438409,0.946476844,0.055794571,FALSE
12711,Migut.H00209.v2.0,-0.016397872,4.424259957,0.880084595,0.946986121,0.055475581,FALSE
26511,Migut.N02728.v2.0,-0.03912302,4.998234212,0.880107739,0.946986121,0.05546416,FALSE
11540,Migut.G00390.v2.0,-0.084403851,5.784084154,0.880327251,0.94710184,0.055355854,FALSE
2527,Migut.B01282.v2.0,-0.005777909,5.32520774,0.880493812,0.94710184,0.055273692,FALSE
